# US populated places (Census Gazetteer 2023 coords + PEP 2023 population)
# population >= 1000; id = PP<7-digit GEOID>; LON,LAT order
# Generated by scripts/build_populated_places.py
id,name,lon,lat,elevation_m,state,population
PP0648256,Mission Viejo,-117.65647,33.60934,,CA,90624
PP4041850,Lawton,-98.42111,34.61922,,OK,90245
PP4944320,Lehi,-111.87115,40.41708,,UT,90227
PP0673080,South Gate,-118.19276,33.94416,,CA,90070
PP3728080,Greenville,-77.37526,35.59643,,NC,90053
PP0670000,Santa Monica,-118.49824,34.01091,,CA,89922
PP0524550,Fort Smith,-94.37088,35.34928,,AR,89770
PP3474000,Trenton,-74.76362,40.22384,,NJ,89620
PP4810912,Bryan,-96.38105,30.66602,,TX,89615
PP1712385,Champaign,-88.27462,40.11410,,IL,89189
PP3570500,Santa Fe,-105.98181,35.66198,,NM,89167
PP1249675,North Port,-82.19804,27.05817,,FL,88934
PP0684550,Westminster,-117.99387,33.75229,,CA,88729
PP4727740,Franklin,-86.85216,35.91403,,TN,88558
PP3413690,Clifton,-74.16039,40.86214,,NJ,88461
PP2545560,Newton,-71.20840,42.33177,,MA,88415
PP0566080,Springdale,-94.15506,36.19144,,AR,88224
PP2534550,Lawrence,-71.16136,42.70027,,MA,88172
PP2717000,Duluth,-92.13414,46.77446,,MN,87680
PP1779293,Waukegan,-87.87090,42.36945,,IL,87642
PP2706616,Bloomington,-93.31522,44.82967,,MN,87398
PP2680700,Troy,-83.14553,42.58388,,MI,87339
PP1216725,Deerfield Beach,-80.12538,26.31172,,FL,87325
PP4848768,Mission,-98.32522,26.20406,,TX,87292
PP4955980,Ogden,-111.96815,41.22839,,UT,87267
PP1243975,Melbourne,-80.66272,28.11044,,FL,86960
PP0669070,Santa Barbara,-119.71371,34.40359,,CA,86499
PP0613588,Citrus Heights,-121.28795,38.69481,,CA,86239
PP0918430,Danbury,-73.47810,41.39874,,CT,86124
PP0639496,Lake Forest,-117.67585,33.65495,,CA,85840
PP2430325,Frederick,-77.41454,39.43409,,MD,85793
PP0668084,San Leandro,-122.16304,37.70337,,CA,85784
PP1973335,Sioux City,-96.38986,42.49529,,IA,85727
PP5335275,Kennewick,-119.17592,46.19762,,WA,85158
PP4147000,Medford,-122.85177,42.33689,,OR,85098
PP0668378,San Ramon,-121.93199,37.76526,,CA,84929
PP0624638,Folsom,-121.14163,38.66660,,CA,84782
PP1380508,Warner Robins,-83.65394,32.59710,,GA,84537
PP4970850,South Jordan,-111.97858,40.55691,,UT,84528
PP0685292,Whittier,-118.02012,33.96683,,CA,84143
PP4806128,Baytown,-94.96746,29.76478,,TX,84067
PP3725580,Gastonia,-81.18483,35.24900,,NC,83942
PP5303180,Auburn,-122.21000,47.30377,,WA,83870
PP3650617,New Rochelle,-73.77934,40.92324,,NY,83742
PP4943660,Layton,-111.96073,41.07742,,UT,83516
PP0632548,Hawthorne,-118.34808,33.91477,,CA,83364
PP4843888,Longview,-94.76459,32.51934,,TX,83236
PP4474300,Warwick,-71.42031,41.70309,,RI,82999
PP0641992,Livermore,-121.75978,37.68698,,CA,82908
PP0651182,Newport Beach,-117.89035,33.59733,,CA,82637
PP4419180,Cranston,-71.48505,41.76973,,RI,82635
PP0659444,Rancho Cordova,-121.23619,38.57708,,CA,82605
PP2686000,Westland,-83.38078,42.31917,,MI,82574
PP2627440,Farmington Hills,-83.37596,42.48565,,MI,82528
PP1216525,Daytona Beach,-81.09708,29.19071,,FL,82485
PP1239425,Largo,-82.76724,27.90591,,FL,82248
