# US ZIP codes (Census 2023 ZCTA Gazetteer interior points)
# id = ZIP<5-digit>; LON,LAT order; territories excluded
# Generated by scripts/build_zip_codes.py
id,zip,lon,lat
ZIP02116,02116,-71.07659,42.35098
ZIP02118,02118,-71.06981,42.33786
ZIP02119,02119,-71.08519,42.32407
ZIP02120,02120,-71.09661,42.33213
ZIP02121,02121,-71.08697,42.30540
ZIP02122,02122,-71.05253,42.29509
ZIP02124,02124,-71.07505,42.28592
ZIP02125,02125,-71.05555,42.31568
ZIP02126,02126,-71.08997,42.27744
ZIP02127,02127,-71.03822,42.33530
ZIP02128,02128,-71.00739,42.36152
ZIP02129,02129,-71.06149,42.37966
ZIP02130,02130,-71.11347,42.30817
ZIP02131,02131,-71.12475,42.28232
ZIP02132,02132,-71.16045,42.27908
ZIP02133,02133,-71.06386,42.35835
ZIP02134,02134,-71.12958,42.35879
ZIP02135,02135,-71.15396,42.34969
ZIP02136,02136,-71.12707,42.25475
ZIP02138,02138,-71.13515,42.37964
ZIP02139,02139,-71.10234,42.36239
ZIP02140,02140,-71.13400,42.39216
ZIP02141,02141,-71.08256,42.37030
ZIP02142,02142,-71.08096,42.36250
ZIP02143,02143,-71.09672,42.38140
ZIP02144,02144,-71.12309,42.40008
ZIP02145,02145,-71.08991,42.39158
ZIP02148,02148,-71.05871,42.42938
ZIP02149,02149,-71.05465,42.40594
ZIP02150,02150,-71.03135,42.39682
ZIP02151,02151,-71.00125,42.41829
ZIP02152,02152,-70.97703,42.37738
ZIP02155,02155,-71.10767,42.42384
ZIP02163,02163,-71.12509,42.36723
ZIP02169,02169,-71.01520,42.24002
ZIP02170,02170,-71.01558,42.26642
ZIP02171,02171,-71.02582,42.29147
ZIP02176,02176,-71.05902,42.45572
ZIP02180,02180,-71.09767,42.47421
ZIP02184,02184,-71.00232,42.20619
ZIP02186,02186,-71.08244,42.24156
ZIP02188,02188,-70.95763,42.20466
ZIP02189,02189,-70.92964,42.21197
ZIP02190,02190,-70.95236,42.16673
ZIP02191,02191,-70.94653,42.24508
ZIP02199,02199,-71.08203,42.34748
ZIP02203,02203,-71.05945,42.36145
ZIP02205,02205,-71.05562,42.34940
ZIP02210,02210,-71.03928,42.34804
ZIP02215,02215,-71.10308,42.34763
ZIP02301,02301,-71.04230,42.07837
ZIP02302,02302,-70.99837,42.08891
ZIP02322,02322,-71.05401,42.13246
ZIP02324,02324,-70.97877,41.97238
ZIP02325,02325,-70.96241,41.99010
ZIP02330,02330,-70.74671,41.87518
ZIP02332,02332,-70.70606,42.04441
ZIP02333,02333,-70.94218,42.03712
ZIP02338,02338,-70.86371,42.00263
ZIP02339,02339,-70.85631,42.12296
ZIP02341,02341,-70.86736,42.05024
ZIP02343,02343,-70.99786,42.14035
ZIP02346,02346,-70.86927,41.87800
ZIP02347,02347,-70.95683,41.83438
ZIP02350,02350,-70.84579,42.02101
ZIP02351,02351,-70.95660,42.11576
ZIP02356,02356,-71.11967,42.06054
ZIP02357,02357,-71.07737,42.06397
ZIP02359,02359,-70.80571,42.06780
ZIP02360,02360,-70.63129,41.88206
ZIP02364,02364,-70.74194,41.98720
ZIP02366,02366,-70.66118,41.84875
ZIP02367,02367,-70.80275,41.95910
ZIP02368,02368,-71.05265,42.17899
ZIP02370,02370,-70.90874,42.12925
ZIP02375,02375,-71.07804,42.00569
ZIP02379,02379,-71.02672,42.02162
ZIP02382,02382,-70.93939,42.07897
ZIP02420,02420,-71.21773,42.45906
ZIP02421,02421,-71.23957,42.43855
ZIP02445,02445,-71.13505,42.32548
ZIP02446,02446,-71.12224,42.34350
ZIP02451,02451,-71.25300,42.40153
ZIP02452,02452,-71.21995,42.39561
ZIP02453,02453,-71.24110,42.36868
ZIP02457,02457,-71.27302,42.29831
ZIP02458,02458,-71.18819,42.35359
ZIP02459,02459,-71.19202,42.31478
ZIP02460,02460,-71.20849,42.35182
ZIP02461,02461,-71.20651,42.31736
ZIP02462,02462,-71.25595,42.33167
ZIP02464,02464,-71.21888,42.31298
ZIP02465,02465,-71.22734,42.34953
ZIP02466,02466,-71.24766,42.34551
ZIP02467,02467,-71.15278,42.31432
ZIP02468,02468,-71.23158,42.32917
ZIP02472,02472,-71.17793,42.36945
ZIP02474,02474,-71.15637,42.42095
ZIP02476,02476,-71.17349,42.41648
ZIP02478,02478,-71.18028,42.39532
ZIP02481,02481,-71.27777,42.31051
ZIP02482,02482,-71.29644,42.29327
ZIP02492,02492,-71.24371,42.27648
ZIP02493,02493,-71.30343,42.36050
ZIP02494,02494,-71.23122,42.29956
ZIP02532,02532,-70.59493,41.74952
ZIP02534,02534,-70.61528,41.66900
ZIP02535,02535,-70.76167,41.33796
ZIP02536,02536,-70.56747,41.59629
ZIP02537,02537,-70.43581,41.72842
ZIP02538,02538,-70.64245,41.77738
ZIP02539,02539,-70.52208,41.37765
ZIP02540,02540,-70.62720,41.56947
ZIP02542,02542,-70.54552,41.70784
ZIP02543,02543,-70.78505,41.47242
ZIP02553,02553,-70.62228,41.71314
ZIP02554,02554,-70.09629,41.29011
ZIP02556,02556,-70.62452,41.63945
ZIP02557,02557,-70.56176,41.44640
ZIP02558,02558,-70.65169,41.74627
ZIP02559,02559,-70.61628,41.69024
ZIP02561,02561,-70.53285,41.76781
ZIP02562,02562,-70.52759,41.78798
ZIP02563,02563,-70.50252,41.75113
ZIP02564,02564,-69.98453,41.27188
